	(Synthesis).ksynth	(transport cytoplasm_Foxo1_Pa0_pUb0 to nucleus_Foxo1_Pa0_pUb0).ktr	(transport nucleus_Foxo1_Pa0_pUb0 to cytoplasm_Foxo1_Pa0_pUb0).ktr	(transport nucleus_Foxo1_Pa0_pUb0 to dnabound_Foxo1_Pa0_pUb0).ktr	(transport dnabound_Foxo1_Pa0_pUb0 to nucleus_Foxo1_Pa0_pUb0).ktr	(transport cytoplasm_Foxo1_Pa0_pUb1 to nucleus_Foxo1_Pa0_pUb1).ktr	(transport nucleus_Foxo1_Pa0_pUb1 to cytoplasm_Foxo1_Pa0_pUb1).ktr	(transport nucleus_Foxo1_Pa0_pUb1 to dnabound_Foxo1_Pa0_pUb1).ktr	(transport dnabound_Foxo1_Pa0_pUb1 to nucleus_Foxo1_Pa0_pUb1).ktr	(transport cytoplasm_Foxo1_Pa1_pUb0 to nucleus_Foxo1_Pa1_pUb0).ktr	(transport nucleus_Foxo1_Pa1_pUb0 to cytoplasm_Foxo1_Pa1_pUb0).ktr	(transport nucleus_Foxo1_Pa1_pUb0 to dnabound_Foxo1_Pa1_pUb0).ktr	(transport dnabound_Foxo1_Pa1_pUb0 to nucleus_Foxo1_Pa1_pUb0).ktr	(transport cytoplasm_Foxo1_Pa1_pUb1 to nucleus_Foxo1_Pa1_pUb1).ktr	(transport nucleus_Foxo1_Pa1_pUb1 to cytoplasm_Foxo1_Pa1_pUb1).ktr	(transport nucleus_Foxo1_Pa1_pUb1 to dnabound_Foxo1_Pa1_pUb1).ktr	(transport dnabound_Foxo1_Pa1_pUb1 to nucleus_Foxo1_Pa1_pUb1).ktr	(conversion of cytoplasm_Foxo1_Pa0_pUb0 to cytoplasm_Foxo1_Pa1_pUb0 by Akt).kkin	(conversion of nucleus_Foxo1_Pa0_pUb0 to nucleus_Foxo1_Pa1_pUb0 by Akt).kkin	(conversion of dnabound_Foxo1_Pa0_pUb0 to dnabound_Foxo1_Pa1_pUb0 by Akt).kkin	(conversion of cytoplasm_Foxo1_Pa0_pUb1 to cytoplasm_Foxo1_Pa1_pUb1 by Akt).kkin	(conversion of nucleus_Foxo1_Pa0_pUb1 to nucleus_Foxo1_Pa1_pUb1 by Akt).kkin	(conversion of dnabound_Foxo1_Pa0_pUb1 to dnabound_Foxo1_Pa1_pUb1 by Akt).kkin	(conversion of cytoplasm_Foxo1_Pa0_pUb0 to cytoplasm_Foxo1_Pa1_pUb0 by SGK).kkin	(conversion of nucleus_Foxo1_Pa0_pUb0 to nucleus_Foxo1_Pa1_pUb0 by SGK).kkin	(conversion of dnabound_Foxo1_Pa0_pUb0 to dnabound_Foxo1_Pa1_pUb0 by SGK).kkin	(conversion of cytoplasm_Foxo1_Pa0_pUb1 to cytoplasm_Foxo1_Pa1_pUb1 by SGK).kkin	(conversion of nucleus_Foxo1_Pa0_pUb1 to nucleus_Foxo1_Pa1_pUb1 by SGK).kkin	(conversion of dnabound_Foxo1_Pa0_pUb1 to dnabound_Foxo1_Pa1_pUb1 by SGK).kkin	(conversion of cytoplasm_Foxo1_Pa1_pUb0 to cytoplasm_Foxo1_Pa0_pUb0 by PP2A).kdephos	(conversion of nucleus_Foxo1_Pa1_pUb0 to nucleus_Foxo1_Pa0_pUb0 by PP2A).kdephos	(conversion of dnabound_Foxo1_Pa1_pUb0 to dnabound_Foxo1_Pa0_pUb0 by PP2A).kdephos	(conversion of cytoplasm_Foxo1_Pa1_pUb1 to cytoplasm_Foxo1_Pa0_pUb1 by PP2A).kdephos	(conversion of nucleus_Foxo1_Pa1_pUb1 to nucleus_Foxo1_Pa0_pUb1 by PP2A).kdephos	(conversion of dnabound_Foxo1_Pa1_pUb1 to dnabound_Foxo1_Pa0_pUb1 by PP2A).kdephos	(conversion of cytoplasm_Foxo1_Pa0_pUb0 to cytoplasm_Foxo1_Pa0_pUb1 by SCF).kub	(conversion of nucleus_Foxo1_Pa0_pUb0 to nucleus_Foxo1_Pa0_pUb1 by SCF).kub	(conversion of dnabound_Foxo1_Pa0_pUb0 to dnabound_Foxo1_Pa0_pUb1 by SCF).kub	(conversion of cytoplasm_Foxo1_Pa1_pUb0 to cytoplasm_Foxo1_Pa1_pUb1 by SCF).kub	(conversion of nucleus_Foxo1_Pa1_pUb0 to nucleus_Foxo1_Pa1_pUb1 by SCF).kub	(conversion of dnabound_Foxo1_Pa1_pUb0 to dnabound_Foxo1_Pa1_pUb1 by SCF).kub	(degradation of cytoplasm_Foxo1_Pa0_pUb1).kdeg	(degradation of cytoplasm_Foxo1_Pa1_pUb1).kdeg	(transcription of inr by dnabound_Foxo1_Pa0_pUb0).ktranscr	(transcription of sod2 by dnabound_Foxo1_Pa0_pUb0).ktranscr	(transcription of inr by dnabound_Foxo1_Pa0_pUb1).ktranscr	(transcription of sod2 by dnabound_Foxo1_Pa0_pUb1).ktranscr	(transcription of inr by dnabound_Foxo1_Pa1_pUb0).ktranscr	(transcription of sod2 by dnabound_Foxo1_Pa1_pUb0).ktranscr	(transcription of inr by dnabound_Foxo1_Pa1_pUb1).ktranscr	(transcription of sod2 by dnabound_Foxo1_Pa1_pUb1).ktranscr	(basal transcription of inr).v	(export of inr RNA).kexp	(cyto degr of inr RNA).k1	(translation of inr).ktransl	(degradation of Inr protein).k1	(basal transcription of sod2).v	(export of sod2 RNA).kexp	(cyto degr of sod2 RNA).k1	(translation of sod2).ktransl	(degradation of Sod2 protein).k1
[nucleus_Foxo1_Pa0_pUb1]	0.745351	0.0928494	-0.00268937	0.0210822	-0.00849323	0.509256	-0.0193541	-0.041631	0.0259165	0.0881885	-0.169286	0.0762214	-0.0888129	0.266257	-0.705916	0.0163325	-0.0291349	-0.104528	-0.0286146	0.0039981	-0.432923	-0.938544	-0.028856	0	0	0	0	0	0	0.107729	0.0188326	-0.00380816	0.454576	0.689001	0.0268059	-0.0119113	0.00748037	0.00330824	-0.445376	0.0570342	0.073651	-0.0776749	-0.724731	6.59041e-05	6.59041e-05	-0.000761439	-0.000761439	-0.000782283	-0.000782283	-0.000135617	-0.000135617	0.00044046	-0.000191675	0.00044046	0.000202976	0.000293802	0.00044046	-0.000191675	0.00044046	0.000202976	0.000293802
[nucleus_Foxo1_Pa1_pUb0]	0.752961	0.414209	-0.0122047	-0.0146701	0.00587467	-0.00137867	2.64325e-05	-0.000234492	-0.00104136	0.451754	-0.868167	-0.054659	0.0623824	-0.000115287	8.91807e-05	-0.000206224	-0.000232583	-0.401154	0.0277105	-0.00474986	6.50456e-05	4.21001e-05	-0.00164229	0	0	0	0	0	0	0.413368	-0.0188924	0.00462834	0.000184833	-2.26068e-05	6.41248e-05	-0.0363052	-0.00371637	-0.00232871	-1.11223	-0.0754475	-0.0861042	0.00012992	-0.000320545	6.1947e-05	6.1947e-05	-0.000759373	-0.000759373	-0.000781306	-0.000781306	-0.000134045	-0.000134045	0.000425466	-0.000182546	0.000425466	0.000196468	0.000282717	0.000425466	-0.000182546	0.000425466	0.000196468	0.000282717
[nucleus_Foxo1_Pa1_pUb1]	0.744923	0.120212	-0.00349896	0.0272578	-0.010975	0.342341	-0.0130232	0.000708222	-0.00164957	0.116414	-0.223544	0.0976125	-0.113526	0.374508	-0.992825	0.00103155	-0.00244729	-0.129141	-0.0308847	0.00563805	-0.27479	0.0119641	-0.00134898	0	0	0	0	0	0	0.133092	0.0203532	-0.00538894	0.288632	-0.00877158	-0.000270606	-0.014647	0.00437659	0.00413098	-0.498948	0.0883631	0.0997743	-0.068975	-0.666742	6.61483e-05	6.61485e-05	-0.000754697	-0.000754697	-0.000778476	-0.000778476	-0.000135685	-0.000135685	0.000441316	-0.00019235	0.000441316	0.000203347	0.000294435	0.000441316	-0.00019235	0.000441316	0.000203347	0.000294435
[nucleus_RNA_Inr]	0.468319	0.276255	-0.00814132	0.124458	-0.0500164	0.0091241	-0.00036234	0.00528255	-0.00421319	0.249879	-0.480214	0.434913	-0.502863	0.00919118	-0.0245017	0.0207026	-0.0365033	-0.268669	-0.115916	-0.00505926	-0.00809781	-0.00502784	-0.001208	0	0	0	0	0	0	0.276858	0.0774411	0.00490804	0.00866191	0.00369642	0.000185713	-0.022245	-0.00211797	-0.00127923	-0.682755	-0.0430248	-0.0491374	-0.0017875	-0.0181058	0.0553988	4.02685e-05	0.00317119	-0.000489482	0.532525	-0.00049868	0.035915	-8.64263e-05	0.372231	-1.00078	0.000275265	0.000127074	0.000183008	0.000275265	-0.000118881	0.000275265	0.000127074	0.000183008
[nucleus_RNA_Sod2]	0.468319	0.276255	-0.00814132	0.124458	-0.0500164	0.0091241	-0.00036234	0.00528255	-0.00421319	0.249879	-0.480214	0.434913	-0.502863	0.00919118	-0.0245017	0.0207026	-0.0365033	-0.268669	-0.115916	-0.00505926	-0.00809781	-0.00502784	-0.001208	0	0	0	0	0	0	0.276858	0.0774411	0.00490804	0.00866191	0.00369642	0.000185713	-0.022245	-0.00211797	-0.00127923	-0.682755	-0.0430248	-0.0491374	-0.0017875	-0.0181058	4.02686e-05	0.0553988	-0.000489482	0.00317119	-0.00049868	0.532525	-8.64263e-05	0.035915	0.000275265	-0.000118881	0.000275265	0.000127074	0.000183008	0.372231	-1.00078	0.000275265	0.000127074	0.000183008
[dnabound_Foxo1_Pa0_pUb0]	0.748908	0.461525	-0.0136047	0.246572	-0.0990781	-0.00140756	2.75324e-05	-0.000239532	-0.00106131	0.402807	-0.7741	0.676769	-0.782479	-0.000117174	9.04463e-05	-0.000209434	-0.00023615	-0.448469	-0.23191	-0.898621	6.61057e-05	4.32447e-05	-0.00166923	0	0	0	0	0	0	0.462129	0.155024	0.866004	0.000187871	-2.32878e-05	6.51842e-05	-0.0363342	-0.0037438	-0.0031804	-1.11275	-0.0749652	-0.105845	0.000132052	-0.0003253	6.29823e-05	6.29823e-05	-0.000764498	-0.000764498	-0.000787104	-0.000787104	-0.000136238	-0.000136238	0.00043245	-0.000185896	0.00043245	0.000199694	0.00028736	0.00043245	-0.000185896	0.00043245	0.000199694	0.00028736
[dnabound_Foxo1_Pa0_pUb1]	0.741664	0.22413	-0.00657276	0.0835572	-0.0335987	0.258975	-0.00986401	0.164471	-0.108274	0.207478	-0.398597	0.296984	-0.343843	0.233979	-0.620387	0.506319	-0.883997	-0.226404	-0.0819971	0.0170953	-0.212381	-0.154755	-0.894382	0	0	0	0	0	0	0.233319	0.0545917	-0.0164331	0.223145	0.113618	0.878686	-0.0212659	0.00226579	0.0151621	-0.690445	0.0297294	0.33996	-0.0479653	-0.459715	6.80079e-05	6.80079e-05	-0.000714497	-0.000714497	-0.00074781	-0.00074781	-0.000136187	-0.000136187	0.000447858	-0.000197454	0.000447858	0.000206174	0.00029928	0.000447858	-0.000197454	0.000447858	0.000206174	0.00029928
[dnabound_Foxo1_Pa1_pUb0]	0.748706	0.45337	-0.0133633	0.201544	-0.0809897	-0.00137949	2.75832e-05	-0.000239777	-0.00106229	0.411244	-0.79032	0.723049	-0.835935	-0.000117269	9.05016e-05	-0.000209595	-0.00023633	-0.440322	-0.187165	0.0823427	6.61613e-05	4.28468e-05	-0.00167057	0	0	0	0	0	0	0.453736	0.125049	-0.0792971	0.000188023	-2.33197e-05	6.5236e-05	-0.0363357	-0.00373951	-0.00303173	-1.11284	-0.0750593	-0.107238	0.00013216	-0.000325539	6.30374e-05	6.30374e-05	-0.000768936	-0.000768936	-0.000787234	-0.000787234	-0.000136347	-0.000136347	0.000432798	-0.000186061	0.000432798	0.000199855	0.000287591	0.000432798	-0.000186061	0.000432798	0.000199855	0.000287591
[dnabound_Foxo1_Pa1_pUb1]	0.741615	0.228526	-0.00670283	0.0854951	-0.0343773	0.250005	-0.00952376	0.133983	-0.0884249	0.211535	-0.406395	0.304435	-0.35245	0.233439	-0.618954	0.527007	-0.920088	-0.230478	-0.0836201	0.0204231	-0.204424	-0.12463	0.0849886	0	0	0	0	0	0	0.237517	0.0556789	-0.0196399	0.214795	0.0915038	-0.0852678	-0.0215842	0.00208068	0.0126054	-0.698695	0.0289867	0.35173	-0.0469532	-0.45078	6.80294e-05	6.80294e-05	-0.000714476	-0.000714476	-0.00074707	-0.00074707	-0.000136201	-0.000136201	0.000447952	-0.000197529	0.000447952	0.000206215	0.000299346	0.000447952	-0.000197529	0.000447952	0.000206215	0.000299346



